<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.06.22	1.15983	1.16749	1.15982	1.16539	127058	0	1
2018.06.25	1.16635	1.17130	1.16284	1.17027	106506	0	1
2018.06.26	1.17027	1.17205	1.16347	1.16460	121598	0	1
2018.06.27	1.16455	1.16721	1.15404	1.15524	122606	0	1
2018.06.28	1.15516	1.16006	1.15271	1.15679	131958	0	1
2018.06.29	1.15672	1.16903	1.15580	1.16831	142851	0	1
2018.07.02	1.16841	1.16894	1.15912	1.16388	95314	0	1
2018.07.03	1.16386	1.16731	1.16203	1.16550	92957	0	1
2018.07.04	1.16559	1.16817	1.16305	1.16555	75752	0	1
2018.07.05	1.16554	1.17203	1.16499	1.16895	99612	0	1
2018.07.06	1.16892	1.17679	1.16800	1.17435	89473	0	1
2018.07.09	1.17382	1.17908	1.17326	1.17496	88040	0	1
2018.07.10	1.17495	1.17626	1.16902	1.17438	80664	0	1
2018.07.11	1.17424	1.17584	1.16653	1.16714	113328	0	1
2018.07.12	1.16718	1.16957	1.16496	1.16705	95067	0	1
2018.07.13	1.16698	1.16867	1.16128	1.16856	90837	0	1
2018.07.16	1.16895	1.17254	1.16755	1.17108	82627	0	1
2018.07.17	1.17094	1.17446	1.16491	1.16602	96980	0	1
2018.07.18	1.16591	1.16649	1.16019	1.16380	93327	0	0
2018.07.19	1.16381	1.16785	1.15747	1.16409	134415	0	1
2018.07.20	1.16419	1.17388	1.16262	1.17209	146710	0	1
2018.07.23	1.17261	1.17497	1.16833	1.16915	73082	0	3
2018.07.24	1.16913	1.17165	1.16542	1.16856	76859	0	5
2018.07.25	1.16856	1.17382	1.16635	1.17280	79792	0	3
2018.07.26	1.17290	1.17433	1.16397	1.16423	77509	0	3
2018.07.27	1.16403	1.16640	1.16199	1.16565	65298	0	3
2018.07.30	1.16563	1.17184	1.16477	1.17050	50121	0	2
2018.07.31	1.17027	1.17455	1.16855	1.16906	70827	0	3
2018.08.01	1.16895	1.16993	1.16568	1.16594	62909	0	2
2018.08.02	1.16590	1.16671	1.15813	1.15840	61156	0	3
2018.08.03	1.15838	1.16102	1.15598	1.15672	68396	0	5
2018.08.06	1.15681	1.15708	1.15296	1.15532	46317	0	2
2018.08.07	1.15532	1.16078	1.15500	1.15979	49278	0	3
2018.08.08	1.15980	1.16278	1.15729	1.16096	49821	0	3
2018.08.09	1.16096	1.16189	1.15253	1.15265	58810	0	3
2018.08.10	1.15262	1.15360	1.13878	1.14111	112034	0	3
2018.08.13	1.13714	1.14324	1.13646	1.14096	101338	0	3
2018.08.14	1.14095	1.14290	1.13297	1.13436	81007	0	3
2018.08.15	1.13429	1.13546	1.13006	1.13444	80064	0	3
2018.08.16	1.13452	1.14088	1.13353	1.13758	87129	0	4
2018.08.17	1.13758	1.14445	1.13660	1.14381	75130	0	2
2018.08.20	1.14366	1.14846	1.13940	1.14807	61642	0	3
2018.08.21	1.14802	1.16008	1.14793	1.15700	85498	0	4
2018.08.22	1.15696	1.16226	1.15528	1.15958	75217	0	3
2018.08.23	1.15936	1.15993	1.15292	1.15378	73006	0	2
2018.08.24	1.15369	1.16394	1.15344	1.16218	76788	0	4
2018.08.27	1.16160	1.16932	1.15941	1.16777	64033	0	2
2018.08.28	1.16766	1.17333	1.16622	1.16939	73221	0	2
2018.08.29	1.16939	1.17096	1.16514	1.17063	82808	0	3
2018.08.30	1.17063	1.17178	1.16413	1.16697	79792	0	3
2018.08.31	1.16652	1.16897	1.15842	1.16021	87294	0	8
2018.09.03	1.15955	1.16275	1.15885	1.16180	51281	0	3
2018.09.04	1.16169	1.16207	1.15297	1.15804	69457	0	3
2018.09.05	1.15801	1.16398	1.15422	1.16289	77201	0	2
2018.09.06	1.16297	1.16588	1.16050	1.16226	79031	0	4
2018.09.07	1.16226	1.16491	1.15501	1.15526	84349	0	4
2018.09.10	1.15494	1.16158	1.15255	1.15930	59122	0	2
2018.09.11	1.15923	1.16438	1.15650	1.16045	61376	0	3
2018.09.12	1.16041	1.16493	1.15696	1.16252	67488	0	2
2018.09.13	1.16253	1.17007	1.16087	1.16897	64885	0	2
2018.09.14	1.16892	1.17213	1.16202	1.16219	62858	0	4
2018.09.17	1.16231	1.16978	1.16175	1.16829	50096	0	3
2018.09.18	1.16829	1.17241	1.16517	1.16650	76822	0	4
2018.09.19	1.16649	1.17146	1.16496	1.16720	69430	0	3
2018.09.20	1.16718	1.17842	1.16685	1.17765	76388	0	3
2018.09.21	1.17762	1.18024	1.17323	1.17537	72001	0	3
2018.09.24	1.17405	1.18148	1.17237	1.17472	61072	0	3
2018.09.25	1.17480	1.17921	1.17304	1.17658	66466	0	3
2018.09.26	1.17653	1.17974	1.17256	1.17379	77756	0	3
2018.09.27	1.17362	1.17568	1.16385	1.16407	86181	0	2
2018.09.28	1.16407	1.16509	1.15693	1.16020	78258	0	3
2018.10.01	1.16156	1.16243	1.15632	1.15778	64958	0	3
2018.10.02	1.15790	1.15800	1.15048	1.15460	70105	0	3
2018.10.03	1.15474	1.15933	1.14639	1.14766	84237	0	3
2018.10.04	1.14762	1.15424	1.14630	1.15134	82675	0	3
